BasketballPass_416x240_50.yuv ;SI;TI
;8.74604893318;0
;8.74604893318;37.4566416007
;7.42097429176;40.2367990775
;7.16914350303;38.1313519299
;8.82498892816;37.229020938
;7.36747372208;40.074929819
;7.22395551728;37.8417758568
;8.82880585332;36.9594372252
;7.31920228268;39.8371685741
;7.12909043073;37.3363094052
;8.66398568695;36.755951899
;7.30105683392;39.6484552032
;6.96941575858;36.9188298839
;8.52954490048;36.6196668472
;7.27645538513;39.2173431023
;6.81695672203;36.3868107973
;8.41255024948;36.3593179254
;7.27342223797;38.9358446679
;6.74287733461;36.4828726939
;8.54098144307;36.4828726939
;7.36784472419;38.8715834512
;6.88549495041;36.7423461417
;8.61018114081;36.4142829121
;7.31523432661;38.6264158317
;6.93152985475;36.4417343166
;8.63382985348;36.2215405525
;7.30040003346;38.3536178215
;7.03530939226;36.4142829121
;8.704710012;36.2491379208
;7.36602183021;38.170669368
;7.0697184071;36.4005494464
;8.79183306842;36.1801050303
;7.50235472897;38.1182371051
;7.09007296871;36.6469644036
;8.96071577323;36.3180395947
;7.61313212793;38.1313519299
;7.27313255887;36.7967389859
;9.06536663897;36.1939221417
;7.58310938894;38.1182371051
;7.34237524132;36.8917334914
;9.04402376272;36.1801050303
;7.55056501762;38.275318418
;7.45631047743;37.2021504755
;9.09083279137;36.3593179254
;7.50798785773;38.4057287393
;7.50697005975;37.4566416007
;9.06421977443;36.3593179254
;7.45061161581;38.3927076409
;7.51972905825;37.5898922584
;9.05520407629;36.3455636908
MAX;9.09083279137;40.2367990775
;9.05520407629;36.3455636908
