Johnny_1280x720_60.yuv ;SI;TI
;6.75513300457;0
;6.75513300457;58.0430874437
;5.78981174243;60.0333240792
;4.93476436165;62.825154198
;6.50672623815;57.9655069848
;5.72652109452;60
;4.98692885132;62.864934582
;6.80982163446;58.0430874437
;5.82623065281;59.9916660879
;4.97961947208;62.7614531381
;6.62578804682;57.9568805234
;5.8246830359;59.9749947895
;5.01271386477;62.7614531381
;6.8736869714;57.9913786696
;5.89739469715;60.0083327547
;4.98101955712;62.6657801356
;6.62329782301;57.8878225536
;5.85562266689;60.0166643525
;5.01045506888;62.7216071223
;6.96107172042;57.9568805234
;5.97197713145;60.0666296707
;4.99907079534;62.6578007913
;6.72668579037;57.879184514
;5.94315654811;60.0749531835
;5.00804840293;62.6817357769
;6.94064253942;57.9050947672
;6.02668340098;60.1331855135
;4.96583397302;62.5939294181
;6.77341528724;57.8273291792
;5.99876726586;60.1747455333
;5.00173764728;62.60990337
;6.97773251601;57.8359749637
;6.07622222977;60.1913615064
;5.02292608111;62.4739945897
;6.87002164857;57.7321400954
;6.04490537508;60.166435826
;5.05565340719;62.4259561401
;7.04887394373;57.7321400954
;6.09066822031;60.1331855135
;5.03442739028;62.3137224053
;6.85039874944;57.6801525657
;6.05788685034;60.0999168053
;5.02794702039;62.3538290725
;7.06017755815;57.7494588719
;6.12481171723;60.1248700622
;5.04071872546;62.329768169
;6.90185747878;57.7581163128
;6.0799612722;60.1331855135
;5.05240812526;62.4259561401
;7.06431549011;57.8705451849
MAX;7.06431549011;62.864934582
;7.06431549011;57.8705451849
