DucksTakeOff_3840x2160_50.yuv 	SI	TI
	4.98576089199	0
	4.98576089199	50.4182506638
	5.08963751822	46.1735855225
	3.91212050922	56.8242905807
	5.00205988876	50.4777178565
	5.09392756379	46.184412955
	3.90482247178	56.8594759033
	4.93517413661	50.4380808517
	5.04285231171	46.0434577329
	3.88635675919	56.73623181
	4.98573631113	50.3487835007
	4.98957010486	45.8475735454
	3.83546410645	56.709787515
	5.04652177093	50.3587132481
	5.11679174373	46.0434577329
	3.95326782635	56.6215506676
	4.96471489227	50.2991053598
	5.10547337496	46.0977222865
	3.93757724737	56.6568618969
	4.9414565888	50.2792203599
	5.17509060315	46.1735855225
	3.96257894321	56.789083458
	5.05259587851	50.3686410379
	5.14971968376	46.1952378498
	3.96990282888	56.665686266
	4.96569855326	50.3189825016
	5.11819938008	46.0651712251
	3.92719893193	56.73623181
	4.98746546323	50.3587132481
	5.05533442781	45.9456200306
	3.87992202336	56.6921511322
	5.02340146968	50.4777178565
	5.15207960892	46
	3.93090422385	56.6921511322
	4.95824114461	50.4876222455
	5.14348663861	45.9673797382
	3.93917237574	56.7626637853
	5.02606231869	50.5667875191
	5.16698723603	45.9565011723
	3.94411835774	56.7274184147
	5.06645117387	50.4975246918
	5.24141316578	46
	3.95198703463	56.7186036499
	5.01608644298	50.4876222455
	5.17538863777	45.9456200306
	3.94111651825	56.5685424949
	4.95137697004	50.2593274925
	5.14864786139	45.9347363114
	3.92179938045	56.5243310443
	4.97368151364	50.2294734195
MAX	5.24141316578	56.8594759033
	4.7033837032498	50.1449192787941
