BasketballDrive_1920x1024_50.yuv ;SI;TI
;6.73223990826;0
;6.73223990826;41.9642705167
;5.65503989931;35.9304884464
;4.64737670555;42.6497362243
;6.52344612182;41.6893271714
;5.56445199732;36.1524549651
;4.20718913575;42.7200187266
;6.23500235168;42.2492603486
;5.61162805401;36.9594372252
;3.94554691527;42.0475920833
;6.23293345674;42.4146201209
;5.56911806677;37.2692903072
;4.09453366399;41.8330013267
;6.34232214856;42.2255846614
;5.56390880665;38.0131556175
;4.21599241384;42.2255846614
;6.38606515686;42.9651021179
;5.55538060458;38.4707681233
;4.44738871975;43.3589667774
;6.57076820639;43.4511219648
;5.50923071892;38.3144881213
;4.58306420692;43.0697109347
;6.63428365704;43.0116263352
;5.65586751711;36.8103246386
;4.5180080918;42.4735211632
;6.6849038955;42.3438307195
;5.66206785059;35.5387112878
;4.68954674103;42.3083916026
;6.67677827646;41.8688428309
;5.59463040008;35.3411940941
;4.5893676745;42.8952211791
;6.582883183;42.083250825
;5.4848466806;35.5668384876
;4.44787311762;43.3704968844
;6.53319029767;42.3910367885
;5.5996397927;35.7351367704
;4.39594455438;43.7264222182
;6.63240494796;42.4146201209
;5.69778518404;35.77708764
;4.80458163678;43.8976081353
;6.99997835494;42.6145515053
;5.94613078371;36.1109401705
;4.98537669774;44.5421149026
;7.15638139256;42.6028168083
;6.03911309667;36.0277670693
;4.98197942801;44.7995535692
;7.01235646496;42.3792402008
;5.81756516783;36.3455636908
;4.58283090704;45.2548339959
;6.78193649834;43.0813184571
MAX;7.15638139256;45.2548339959
;6.78193649834;43.0813184571
