FourPeople_1280x720_60.yuv ;SI;TI
;8.72904382994;0
;8.72904382994;56.053545829
;7.11212460226;59.1269819964
;6.43249315997;72.2979944397
;8.72232108037;56.0624651616
;7.11001004713;59.1438923305
;6.42885347302;72.3463889907
;8.71535244885;56.0713830755
;7.10898617045;59.1016074231
;6.41541010958;72.3740284909
;8.71300647995;56.0624651616
;7.11729317272;59.0846849869
;6.42135288254;72.4154679609
;8.71829826893;56.1248608016
;7.12585608886;59.0508255658
;6.4021145225;72.5741000633
;8.71414842497;56.2583327161
;7.13157417905;58.9491306128
;6.39735909577;72.6773692424
;8.71960845306;56.3560112144
;7.13951621039;58.9406481132
;6.39067830054;72.7736215946
;8.71902717633;56.4358042381
;7.14080016522;58.9151932866
;6.38371204578;72.8491592264
;8.71000933663;56.5154846038
;7.145245865;58.8897274573
;6.36756942519;72.924618614
;8.70396542912;56.5950527873
;7.15237423029;58.8387627334
;6.353443041;72.9863000843
;8.69916127692;56.6833308831
;7.15760893246;58.8132638101
;6.34599283131;73.0821455624
;8.69476011659;56.7802782663
;7.14590610523;58.7792480387
;6.29587932596;73.1231837381
;8.58519348877;56.8242905807
;7.0818725886;58.762232769
;6.30078502386;73.2051910728
;8.65940025998;56.9385633819
;7.10936006589;58.804761712
;6.27529590899;73.2734604069
;8.53144256274;56.9824534396
;7.06619985561;58.8132638101
;6.21983849354;73.3348484692
;8.59696667378;57.0701322935
;7.10832513433;58.804761712
;6.22286675618;73.396185187
;8.56968693483;57.1401785086
MAX;8.72904382994;73.396185187
;7.46208191589921;61.6236052476706
