YUV,QP,128x128,128x64,64x128,64x64,64x48,64x32,64x24,64x16,64x12,64x8,64x4,64x2,48x64,48x32,48x16,48x8,48x4,32x64,32x48,32x32,32x24,32x16,32x12,32x8,32x4,32x2,24x64,24x32,24x16,24x8,24x4,16x64,16x48,16x32,16x24,16x16,16x12,16x8,16x4,16x2,12x64,12x32,12x16,12x8,12x4,8x64,8x48,8x32,8x24,8x16,8x12,8x8,8x4,8x2,4x64,4x48,4x32,4x24,4x16,4x12,4x8,4x4,4x2,2x64,2x32,2x16,2x8,2x4,zeros,resto,chroma
ArenaOfValor_INTER.csv,22,454,9,7,2765,8,2251,29,2598,37,3037,2463,0,4,15,16,39,44,814,7,7074,48,7103,96,8424,7079,88,1,23,82,126,140,724,12,4575,59,11550,149,15468,16241,236,3,35,119,283,280,599,8,4522,92,12076,262,25224,20869,1580,337,8,2748,51,10847,248,17597,13872,0,0,8,64,1162,0,9500,860,0
ArenaOfValor_INTER.csv,27,937,165,126,3229,11,2572,24,2710,41,2721,1706,8,6,19,23,22,17,958,15,4326,44,4062,30,4181,2900,56,5,15,42,64,39,941,7,2989,44,6019,79,7106,6182,116,4,28,58,152,114,707,6,2377,33,5851,132,10444,7741,602,340,4,1194,13,4534,115,7086,5583,0,0,0,52,672,0,4856,436,0
ArenaOfValor_INTER.csv,32,1416,346,202,2925,8,2235,18,2183,25,1884,902,8,5,12,16,13,14,883,11,2606,29,2458,27,2324,1229,24,6,22,30,47,23,780,9,1871,28,3561,49,3894,2514,44,1,19,48,93,60,517,6,1331,26,3198,89,4533,2337,178,242,0,510,6,2057,61,2360,1473,0,0,8,56,236,0,1995,212,0
ArenaOfValor_INTER.csv,37,1984,370,221,2065,11,1824,4,1672,6,1297,332,4,16,15,13,8,2,631,12,1725,17,1652,11,1286,565,20,1,9,20,32,10,564,2,1209,14,2107,29,1861,842,8,1,7,27,48,11,232,2,775,14,1531,38,1384,449,38,90,0,224,2,671,8,433,139,0,0,4,32,44,0,685,48,0
ArenaOfValor_INTRA.csv,22,10,8,4,164,2,119,3,200,1,208,143,4,1,0,3,1,2,54,1,836,6,1842,13,2190,1921,76,0,3,9,20,11,55,1,736,6,4194,20,8878,9295,696,0,11,30,78,89,26,1,628,7,5401,53,17681,17871,4902,5,0,510,6,5096,47,13676,22816,0,0,20,180,2406,0,7502,2152,0
ArenaOfValor_INTRA.csv,27,18,12,7,236,0,274,2,322,8,315,210,16,0,0,1,4,0,85,0,1044,8,1910,8,2039,1492,72,0,3,13,15,10,56,0,1055,17,4041,23,6678,5966,584,1,9,24,40,37,41,0,816,23,4594,30,12207,11337,2962,34,1,520,6,3836,27,8894,14554,0,0,16,140,1808,0,4574,1528,0
ArenaOfValor_INTRA.csv,32,34,8,9,309,2,420,1,418,8,378,246,8,2,0,2,6,2,134,0,1260,10,1943,10,1797,1159,144,0,6,9,6,9,97,0,1178,12,3280,19,4743,3709,504,0,10,15,21,15,68,1,887,13,3771,29,7752,6318,1884,46,1,468,5,2364,25,5199,8042,0,0,40,160,1218,0,2552,1040,0
ArenaOfValor_INTRA.csv,37,48,23,7,462,2,534,4,449,5,367,167,12,3,2,5,5,0,234,2,1308,9,1601,8,1377,827,156,1,1,2,7,5,149,4,1140,8,2499,9,3428,2242,412,2,6,11,14,10,100,2,806,15,2645,19,4440,3403,992,74,1,385,4,1617,4,3110,4536,0,4,44,196,670,0,1474,644,0
BQMall_INTER.csv,22,106,10,1,749,0,185,0,89,0,34,4,0,0,0,0,0,0,205,0,1440,7,613,5,510,154,0,0,22,18,21,6,210,0,1674,11,2534,41,2074,1515,4,0,37,86,122,92,164,0,2123,56,4747,199,4969,2470,126,69,0,1628,90,5467,257,4404,2181,0,0,0,60,248,0,1108,144,0
BQMall_INTER.csv,27,166,41,11,699,0,221,0,48,0,26,2,0,0,0,0,0,0,146,0,1458,5,443,2,298,96,0,0,16,11,3,5,187,0,1421,5,1692,20,1204,685,8,0,25,46,60,26,166,0,1873,35,3065,88,2443,963,48,52,0,1262,57,2863,118,1727,808,0,0,16,40,88,0,541,80,0
BQMall_INTER.csv,32,233,13,2,616,0,254,0,70,0,28,6,0,0,0,0,0,0,200,0,1260,0,441,1,240,83,0,0,7,10,9,1,265,0,1144,7,1112,5,619,316,12,0,13,24,26,9,240,0,1451,22,1556,39,898,245,18,92,0,846,29,1146,24,519,231,0,0,12,32,40,0,237,12,0
BQMall_INTER.csv,37,266,13,11,630,0,338,0,71,0,29,4,0,0,0,0,0,0,244,0,991,0,311,2,166,39,0,0,10,8,5,3,351,0,890,2,590,0,238,81,4,0,13,10,5,1,259,0,874,14,657,11,251,62,0,76,0,389,6,321,2,69,15,0,0,8,0,4,0,108,16,0
BQMall_INTRA.csv,22,0,0,1,12,0,11,0,14,0,6,2,0,0,0,0,0,0,23,0,99,0,133,0,134,145,20,0,2,0,3,1,43,0,274,3,611,6,1189,1362,104,0,3,9,14,17,64,0,462,2,2022,25,3909,2990,832,71,0,655,11,2874,36,3906,4489,0,0,48,280,1256,0,1597,660,0
BQMall_INTRA.csv,27,1,0,4,44,0,17,0,4,0,5,2,0,0,0,0,0,0,28,0,167,1,137,1,140,153,12,0,2,3,2,1,44,0,349,2,674,7,991,988,112,0,5,10,16,13,62,0,454,8,1683,34,2638,1935,686,54,0,591,8,2017,40,2722,3389,0,0,56,328,1092,0,1161,744,0
BQMall_INTRA.csv,32,7,1,2,78,0,28,0,17,0,8,3,0,0,0,0,0,0,31,0,207,2,164,1,142,129,20,0,0,3,0,1,53,0,381,1,644,6,784,710,112,0,3,8,9,11,44,0,490,7,1254,16,1716,1426,548,14,0,467,8,1348,21,1848,2254,0,0,52,332,764,0,733,588,0
BQMall_INTRA.csv,37,12,4,1,88,0,40,0,6,0,12,2,0,0,0,0,0,0,40,0,231,2,197,0,169,115,28,0,2,2,1,0,50,0,415,1,550,4,632,487,112,0,3,13,4,3,31,0,459,3,980,11,1076,901,274,6,0,361,7,929,10,1141,1381,0,8,64,248,438,0,459,484,0
BQSquare_INTER.csv,22,13,2,0,144,0,133,0,111,0,15,0,0,0,0,0,0,0,76,0,336,2,334,4,214,95,0,0,0,4,11,10,31,0,285,12,699,21,961,734,0,0,8,29,68,48,8,0,297,20,1056,78,1271,778,0,0,0,117,5,877,60,801,326,0,0,0,0,10,0,37,8,0
BQSquare_INTER.csv,27,25,0,2,198,0,155,0,142,0,17,2,0,0,0,0,0,0,124,0,281,0,175,0,115,26,0,0,0,4,2,2,33,0,190,1,334,0,315,191,0,0,2,8,21,8,10,0,174,0,356,8,400,272,0,4,0,70,0,276,9,297,143,0,0,0,4,4,0,26,0,0
BQSquare_INTER.csv,32,31,10,11,238,0,159,0,152,0,11,2,0,0,0,0,0,0,114,0,181,0,88,0,43,12,0,0,0,0,0,0,23,0,65,0,121,0,127,53,0,0,0,3,4,2,6,0,62,2,118,0,147,82,8,4,0,17,3,83,2,112,36,0,0,0,4,2,0,12,0,0
BQSquare_INTER.csv,37,52,2,12,217,0,162,0,157,0,8,0,0,0,0,0,0,0,108,0,105,1,26,0,25,3,0,0,0,0,1,0,13,0,31,0,70,1,53,30,0,0,1,0,1,1,7,0,30,0,48,4,61,32,0,0,0,9,1,30,1,30,4,0,0,0,0,2,0,1,0,0
BQSquare_INTRA.csv,22,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,20,0,39,0,30,39,0,0,0,0,2,2,0,0,35,0,225,6,473,633,12,0,0,9,24,25,0,0,35,2,389,33,1282,1584,464,0,0,26,1,505,26,1399,2411,0,0,0,0,174,0,122,64,0
